Model,Eng Size,Cylinders,MSRP,City_L/100km,Highway_L/100km,Weight_in_Pounds,Type,Country
A4,1.8,4,25550,12.8,9.1,3252,Sedan,Germany
3_Series,2.5,6,28100,14.1,9.7,3219,Sedan,Germany
G35,3.5,6,28150,15.7,10.9,3336,Sedan,Japan
X-Type,2.5,6,29330,14.9,10.1,3428,Sedan,England
C-class,1.8,4,29250,12.8,9.4,3250,Sedan,Germany
A6,2.7,6,42650,15.7,11.3,3836,Sedan,Germany
5_Series,2.5,6,39800,14.9,10.1,3428,Sedan,Germany
S-Type,3,6,43730,15.7,10.9,3777,Sedan,England
GS_300,3,6,38875,15.7,11.3,3649,Sedan,Japan
E-class,3.2,6,50575,14.9,10.5,3691,Sedan,Germany
Focus_SE,2,4,15155,10.9,8.6,2606,Sedan,US
PT_Cruiser,2.4,4,17490,12.8,9.7,3101,Sedan,US
Sentra,1.8,4,14400,10.1,7.8,2581,Sedan,Japan
Aerio,2.3,4,15199,11.3,9.1,2676,Sedan,Japan
Corolla_LE,1.8,4,14780,8.8,7.1,2524,Sedan,Japan
Civic_LX,1.7,4,16160,9.7,7.4,2606,Sedan,Japan
Elantra,2,4,15155,10.9,8.6,2606,Sedan,Korea
Accord_LX,2.4,4,20100,11.8,8.6,3164,Sedan,Japan
Sonata,2.4,4,16799,12.8,9.4,3217,Sedan,Korea
Altima,2.5,4,19200,12.3,9.7,3088,Sedan,Japan
Camry_SE,2.4,4,20705,12.3,8.8,3186,Sedan,Japan
Passat_GL,1.8,4,22855,13.5,9.4,3322,Sedan,Germany
Impala_LS,3.8,6,24685,14.1,9.4,3466,Sedan,US
Intrepid_SXT,3.5,6,25105,14.9,10.5,3548,Sedan,US
Taurus_SES,3,6,21805,14.9,10.9,3306,Sedan,US
Grand_Prix_GT2,3.8,6,24075,14.1,9.4,3484,Sedan,US
LeSabre,3.8,6,25865,14.1,9.7,3567,Sedan,US
Concorde_Lxi,3.5,6,26210,14.9,10.5,3548,Sedan,US
Crown_Victoria_LX,4.6,8,27220,16.6,11.3,4057,Sedan,US
Grand_Marquis_GS,4.6,8,25520,16.6,11.3,3957,Sedan,US
Avalon_XL,3,6,26965,13.5,9.7,3428,Sedan,Japan
LS_430,4.3,8,55375,15.7,11.3,3990,Sedan,Japan
A8_L,4.2,8,68500,16.6,11.8,4399,Sedan,Germany
745i,4.4,8,69300,15.7,10.9,4376,Sedan,Germany
XJ-Series,4.2,8,69330,15.7,10.1,3803,Sedan,England
S-Class,4.3,8,74250,16.6,11.8,4160,Sedan,Germany
TL_3.2,3.2,6,32650,14.1,10.1,3575,Sedan,Japan
CTS,3.2,6,30650,14.9,10.9,3509,Sedan,US
ES_330,3.3,6,31725,14.1,9.7,3460,Sedan,Japan
Prius,1.5,4,20295,4.7,5.5,2890,Sedan,Japan
S40_TS,2.5,5,26990,12.8,9.1,3126,Sedan,Sweden
9-5_Aero,2.3,4,39860,14.9,10.1,3470,Sedan,Sweden
TSX,2.4,4,26490,12.8,9.1,3318,Sedan,Japan
Jetta_GLI,2.8,6,23210,13.5,9.7,3179,Sedan,Germany
Viper,8.3,10,81090,23.5,13.5,3410,Sedan,US
Cooper,1.6,4,19899,11.8,8.6,2678,Sedan,England
Caravan_SE,2.4,4,18330,13.5,10.5,3908,Minivan,US
Venture_Plus,3.4,6,21475,14.9,10.9,3699,Minivan,US
Sedona_EX,3.5,6,22085,18.8,14.1,4802,Minivan,Korea
MPV_LX,3,6,23490,15.7,11.3,3772,Minivan,Japan
Montana_FWD,3.4,6,23335,14.9,10.9,3803,Minivan,US
Freestar_SE,3.9,6,26390,16.6,12.3,4275,Minivan,US
Astro_LS,4.3,6,25230,17.7,14.1,4309,Minivan,US
Odyssey_EX,3.5,6,26990,15.7,11.3,4365,Minivan,Japan
Sienna_LE,3.3,6,24480,14.9,10.5,4120,Minivan,Japan
Legacy_L,2.5,4,21520,12.8,10.1,3400,Wagon,Japan
V40,1.9,4,25700,12.8,9.7,2822,Wagon,Sweden
xB,1.5,4,14480,9.4,8.3,2469,Wagon,Japan
Vibe,1.8,4,16605,9.7,7.8,2700,Wagon,US
Matrix,1.8,4,15470,10.5,8.8,2756,Wagon,Japan
Ranier_CXL,4.2,6,38645,18.8,13.5,4628, SUV,US
FX35,3.5,6,36050,17.7,12.8,4215, SUV,Japan
Mountaineer,4.6,8,38335,20.2,14.9,4523, SUV,US
Touareg,3.2,6,35900,18.8,14.1,5086, SUV,Germany
XC90_T6,2.9,6,40695,18.8,14.1,4639, SUV,Sweden
Explorer_XLT,4.6,8,32605,18.8,14.9,4469, SUV,US
Trailblazer_LT,4.2,6,32170,18.8,13.5,4616, SUV,US
Envoy_XL,4.2,6,33470,18.8,14.1,4968, SUV,US
Grand_Cherokee_Freedom,4.7,8,33142,18.8,14.1,4203, SUV,US
Bravada,4.2,6,35870,18.8,13.5,4600, SUV,US
Espedition_XLT,5.4,8,37475,21.7,16.6,5671, SUV,US
Tahoe_SLE,4.8,8,37200,18.8,14.9,5262, SUV,US
Yukon_SLE,4.8,8,37810,18.8,14.9,5262, SUV,US
Sequoia_SR5,4.7,8,35155,20.2,16.6,5270, SUV,Japan
H2_Lux,6,8,52920,25.7,25.7,6400, SUV,US
Escalade,6,8,55110,21.7,16.6,5571, SUV,US
Range_Rover_HSE,4.4,8,72285,23.5,17.7,5379, SUV,England
Navigator_Ultimate,5.4,8,56140,16.6,23.5,6041, SUV,US
G500,5,8,76900,23.5,20.2,5423, SUV,Germany
Element_EX,2.4,4,19700,12.8,10.9,3441, SUV,Japan
Escape_XLS,3,6,20400,14.9,11.3,3181, SUV,US
Liberty_Sport,2.4,4,18380,14.9,11.8,3648, SUV,US
Xterra_XE,3.3,6,20500,18.8,14.9,3777, SUV,Japan
VUE,2.2,4,19005,12.8,10.1,3260, SUV,US
